Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified,Year_Group,Topic
Comparison of Studies Conducted in the Field of Neuromarketing and Artificial Intelligence Using Bibliometric Method,"Balli, A",2024,10.30798/makuiibf.1416687,"Neuromarketing research focuses on consumer purchase intention, decision-making processes, purchase behavior, brand awareness, brand loyalty, and repeat purchase behavior. In these studies, consumer behavior has been analyzed using neuroscientific methods and tools. The most commonly used tools include Functional Magnetic Resonance Imaging Association Test (IAT), Facial Electromyography (fEMG), Automatic Face Coding (AFC), Skin Conductance Response (SCR), and other methods for measuring physiological responses. However, the use of these neuroscientific tools is not always possible due to economic constraints and lack of experimental design. Neuroscientific imaging and measurement methods are not preferred in every study due to their high costs and expertise requirements. However, when neuromarketing studies are examined, it is seen that methods such as Eye Tracking, EEG and fMRI are used more widely. These tools contribute to a deeper understanding of consumer behavior. In order to better analyze consumer behavior, it is of great importance to convey marketing stimuli and messages correctly. In the field of marketing, the effect of stimuli conveyed to consumers using the five senses is one of the focal points of neuromarketing. More than one neuroscientific method should be used together to understand consumer intentions, thoughts and purchasing behaviors. In this way, the obtained data can be analyzed more comprehensively and clearer insights can be provided about neuromarketing. The aim of this study is to present a comprehensive assessment of the use of neuroscientific tools by examining the publications in the field of neuromarketing in the Web of Science database between 2010-2024 with bibliometric analysis. The study will address the limitations of not using more than one neuroscientific tool together in neuromarketing research and the inadequacy of analyses supported by artificial intelligence. A more holistic approach will be proposed to address these shortcomings and a guiding resource for future research will be created.",Neuromarketing; Neuroscientific Tools; Artificial Intelligence,MEHMET AKIF ERSOY UNIV,wos-artificial intelligence,0,Feeling AI,"['consumer behavior', 'purchase intention', 'brand loyalty', 'emotional responses', 'neuromarketing', 'physiological responses']","The abstract discusses the use of neuroscientific methods to understand consumer behavior, decision-making, and emotional responses to marketing stimuli. The focus on how these methods can analyze consumer intentions and behaviors aligns closely with the goals of Feeling AI, which emphasizes understanding customer emotional needs and tailoring marketing strategies accordingly. The mention of using multiple neuroscientific tools to gain deeper insights further indicates an intention to connect with customer emotions and experiences.",70%,10%,20%,0%,0%,"[2023, 2025)",Neuromarketing
Video marketing for decentralized finance platforms’ services,Giannakopoulos N.T.; Reklitis D.P.; Terzi M.C.; Sakas D.P.; Kanellos N.,2024,10.1057/s41264-024-00288-2,"In the continuously evolving environment of blockchain applications, decentralized finance (DeFi) has been discerned as a favorable application among internet users. In this point of view, DeFi platforms have known increased competition with multiple similar platforms constantly emerging. Therefore, DeFi platforms should seek to promote digitally their financial services and increase the visibility of their website. This study examines the potential utilization of DeFi YouTube channel metrics for enhancing their digital marketing performance (website visibility and campaign efficiency), through statistical analyses, system dynamics (SD), and eye-tracking models. From the paper's outcomes, it becomes clear that only the YouTube metrics of the number of videos, number of comments, video interaction, channel views, and views per video can affect DeFi platforms’ website visibility and campaigns’ efficiency. Toward this purpose, neuromarketing applications (eye tracking and heatmaps) indicated that DeFi YouTube channels should select an engaging video (high interaction rate) and provide little but clear information on their home page. Apart from that, the rest of the channel’s pages should be enriched with a logical number of highly interactive short-duration videos, and not with an increasing number of videos. © The Author(s), under exclusive licence to Springer Nature Limited 2024.",Big data; Decentralized finance (DeFi); Decision support systems (DSSs); Neuromarketing; Strategic digital marketing; Video marketing,Palgrave Macmillan,scopus-big data,0,Feeling AI,"['YouTube metrics', 'website visibility', 'campaign efficiency', 'engaging video', 'interaction rate', 'customer needs', 'neuromarketing', 'eye tracking']","The abstract discusses enhancing the digital marketing performance of DeFi platforms through understanding customer engagement with YouTube content. It emphasizes the need to select engaging videos and tailor information to meet customer emotional preferences, which aligns with the focus on customer understanding and relationalization in Feeling AI.",60%,20%,20%,0%,0%,"[2023, 2025)",Neuromarketing
EYE-TRACKING AS A PHYSIOLOGICAL CORRELATE OF CONSUMER BEHAVIOR: A SYSTEMATIC LITERATURE REVIEW; [EYE-TRACKING COMO CORRELATO FISIOLÓGICO DO COMPORTAMENTO DO CONSUMIDOR: UMA REVISÃO SISTEMÁTICA DA LITERATURA],Neves Pereira M.H.; Bezerra de Melo F.L.N.; Jerônimo Soares A.M.; Soares Ferreira P.B.; da Silva M.P.; Morya E.,2024,10.5585/remark.v23i1.23271,"Objective: This study analyzes, through a systematic literature review, the main approaches used in research on consumer behavior that used eye-tracking as an identifier of physiological reactions. Method: The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) protocol was used to identify and select empirical studies published in the last five years, between 2019 and 2023, in nine research databases (Web of Science, Science Direct, Scopus, Springer, Emerald, Wiley Online, Sage, Taylor & Francis, and Google Scholar). Thus, 243 studies were included in the review. Results: The analyzed studies are mainly classified into four different themes of neuromarketing application: purchase decision, behavioral prediction, advertising effects, and customer retention. The main segments analyzed were e-commerce and retail. The predominance of quantitative studies and the need to control sociodemographic variables in the models is highlighted. In summary, there is a suggested need for more multimethod approaches that combine eye-tracking with quantitative and qualitative methods (retrospective interviews), as well as integrate it with other techniques such as Electroencephalography (EEG), Magnetic Resonance Imaging (MRI), Galvanic Skin Response (GSR), facial biometrics, among others. Theoretical/Methodological Contributions: This research advances the understanding of the state of the art on eye-tracking and its application in neuromarketing, providing insights into methodological pathways. Originality/Relevance: Therefore, the main applications and emerging themes that can be explored in future studies are discussed. The proposal was previously registered in PROSPERO (CRD42022315763) and at the time of registration, there was no similar protocol. © 2024 Universidade Nove de Julho-UNINOVE. All rights reserved.",Consumer behavior; Eye-Tracking; Marketing; Neuromarketing,Universidade Nove de Julho-UNINOVE,scopus-prediction,0,Feeling AI,"['consumer behavior', 'physiological reactions', 'emotional data', 'customer understanding', 'neuromarketing', 'customer retention']","The abstract discusses the use of eye-tracking to analyze consumer behavior, which is closely linked to understanding emotional responses and preferences of customers. The focus is on how physiological reactions can indicate customer needs and wants, making it relevant to the 'Feeling AI' category. The study emphasizes the importance of emotional data in understanding consumer choices and tailoring marketing strategies accordingly.",70%,10%,20%,0%,0%,"[2023, 2025)",Neuromarketing
Virtual or human? The impact of the influencer type on Gen Z consumer outcomes,Kholkina V.; Chesnokova E.; Zelenskaya E.,2025,10.1108/JPBM-12-2023-4885,"Purpose: Virtual influencers are a growing trend in digital marketing strategies. This paper aims to compare the impact of virtual and human influencers on Gen Z consumer outcomes (Source Trust, Intention to Follow, Word-of-Mouth and Brand Attachment). Design/methodology/approach: The authors surveyed young consumers (N = 317) in Europe and the CIS. The data are analyzed through Welch’s t-test and partial least squares structural equation modeling. Findings: This study demonstrates that for Gen Z, human influencers are still a more effective marketing tool than virtual influencers. The latter arouse greater social-psychological distance that significantly affects consumer outcomes. Consumers with a higher need-for-uniqueness and novelty seeking have a lower social-psychological distance from virtual influencers. Practical implications: This study offers valuable insights for practitioners in terms of influencer marketing decisions in the digital environment with respect to one of the most solvent target groups – Gen Z. Originality/value: This research contributes to the empirical investigation of the impact of virtual influencers on the behavioral outcomes of Gen Z by including Novelty Seeking and Brand Attachment in the analysis. The research sample includes CIS and European consumers, which allows for a more comprehensive investigation. © 2024, Emerald Publishing Limited.",Artificial intelligence; Brand attachment; Generation Z; Influencer marketing; Intention to follow; Psychological distance; Social media influencer; Source trust; Virtual influencer; Word-of-mouth,Emerald Publishing,scopus-artificial intelligence,1,Feeling AI,"['virtual influencers', 'human influencers', 'social-psychological distance', 'consumer outcomes', 'Brand Attachment', 'need-for-uniqueness', 'novelty seeking']","The abstract discusses the impact of virtual and human influencers on Gen Z's emotional responses and behavioral outcomes, particularly focusing on brand attachment and social-psychological distance. This aligns closely with the 'Feeling AI' category, which emphasizes understanding customer emotions and needs. The findings suggest how emotional factors, such as the perception of influencers and the desire for uniqueness, influence consumer behavior, indicating a strong connection to customer understanding and relationalization.",60%,10%,30%,0%,0%,,Word-of-mouth
What factors determine the intention to use and recommend public autonomous shuttles in a real-life setting?,"Quinones, M; Romero, J; Schmitz, A; Díaz-Martín, AM",2024,10.1108/EJMBE-07-2023-0224,"Purpose - User acceptance is a necessary precondition to implementing self-driving buses as a solution to public transport challenges. Focusing on potential users in a real-life setting, this paper aims to analyze the factors that affect their willingness to use public autonomous shuttles (PASs) as well as their word-of-mouth (WOM) intentions. Design/methodology/approach - Grounded on Unified Theory of Acceptance and Use of Technology (UTAUT2), the study was carried out on a sample of 318 potential users in a real-life setting. The hypothesized relationships were tested using partial least squares structural equation modeling (PLS-SEM). Findings - The study reveals that performance expectancy, facilitating conditions, hedonic motivation and trust are significant predictors of PAS usage intention, which is, in turn, related to WOM communication. Additionally, the factors that impact the intention to use a PAS are found to exert an indirect effect on WOM, mediated by usage intention. Practical implications - This study includes practical insights for transport decision-makers on PAS service design, marketing campaigns and WOM monitoring. Originality/value - While extant research focuses on passengers who have tried autonomous shuttles in experimental settings, this article adopts the perspective of potential users who have no previous experience with these vehicles and identifies the link between usage intention and WOM communication in a real-life traffic environment.",Autonomous vehicle; Autonomous shuttle; Driverless shuttle; Self-driving bus; Technology adoption; Technology acceptance; Usage intention; Word-of-mouth; Sustainable mobility; Smart mobility; Robots; UTAUT2,EMERALD GROUP PUBLISHING LTD,wos-autonomous,0,Feeling AI,"['user acceptance', 'trust', 'word-of-mouth', 'customer needs', 'willingness to use']","The abstract focuses on understanding potential users' acceptance of public autonomous shuttles (PASs), emphasizing emotional factors like trust and hedonic motivation. It explores how these factors influence users' intentions to adopt the technology and their subsequent word-of-mouth communication, which is closely aligned with customer understanding and relationalization aspects highlighted in the Feeling AI category.",70%,10%,20%,0%,0%,"[2023, 2025)",Word-of-mouth
Recommend or not: A comparative analysis of customer reviews to uncover factors influencing explicit online recommendation behavior in peer-to-peer accommodation,"Ding, K; Gong, XY; Huang, T; Choo, WC",2024,10.1016/j.iedeen.2023.100236,"In the fiercely competitive landscape of the peer-to-peer accommodation platform Airbnb, understanding customers' online recommendation behavior is essential for optimizing competitiveness and harnessing the potential of electronic word-of-mouth. This study aims to provide comprehensive insights into the factors driving customers' issuance of positive or negative recommendations based on their experiences. Leveraging 10,101 online reviews from Airbnb users, we employ the Structural Topic Model to determine latent topics relating to customers' recommendation intentions. This study reveals that positive recommendations are primarily influenced by hedonic values tied to the overall experience, including crucial aspects such as convenience for exploring points of interest, local authenticity, social interaction, and emotional fulfillment. These findings highlight the significance of providing memorable and enriching experiences to elicit positive reviews from customers. On the other hand, negative recommendations are closely linked to utilitarian values focused on practical concerns such as check -in procedures, cleanliness, comfortableness, and amenities. Understanding these utilitarian factors is vital for hosts and platform administrators to improve service quality and address potential issues that may lead to negative reviews. Furthermore, this study emphasizes the significant role of hosts in shaping both positive and negative recommendations. This research contributes valuable insights to the field of peer-to-peer accommodation, highlighting the significance of various factors influencing customers' recommendation behavior.",Social marketing; Online recommendation behavior; Word-of-mouth; Airbnb,ELSEVIER SCI LTD,wos-recommendation,6,Feeling AI,"['positive recommendations', 'negative recommendations', 'emotional fulfillment', 'customer understanding', 'experiences', 'social interaction', 'authenticity']","The abstract focuses on understanding customers' online recommendation behavior, emphasizing the emotional aspects of customer experiences. It highlights how positive recommendations are influenced by hedonic values and emotional fulfillment, while negative recommendations are related to practical concerns. This aligns with the 'Feeling AI' category, which focuses on customer understanding and emotional needs. The study aims to comprehend and meet these emotional needs to enhance customer engagement, making it a clear fit for Feeling AI.",70%,10%,20%,0%,0%,"[2023, 2025)",Word-of-mouth
What factors determine the intention to use and recommend public autonomous shuttles in a real-life setting?,Quinones M.; Romero J.; Schmitz A.; Díaz-Martín A.M.,2024,10.1108/EJMBE-07-2023-0224,"Purpose: User acceptance is a necessary precondition to implementing self-driving buses as a solution to public transport challenges. Focusing on potential users in a real-life setting, this paper aims to analyze the factors that affect their willingness to use public autonomous shuttles (PASs) as well as their word-of-mouth (WOM) intentions. Design/methodology/approach: Grounded on Unified Theory of Acceptance and Use of Technology (UTAUT2), the study was carried out on a sample of 318 potential users in a real-life setting. The hypothesized relationships were tested using partial least squares structural equation modeling (PLS-SEM). Findings: The study reveals that performance expectancy, facilitating conditions, hedonic motivation and trust are significant predictors of PAS usage intention, which is, in turn, related to WOM communication. Additionally, the factors that impact the intention to use a PAS are found to exert an indirect effect on WOM, mediated by usage intention. Practical implications: This study includes practical insights for transport decision-makers on PAS service design, marketing campaigns and WOM monitoring. Originality/value: While extant research focuses on passengers who have tried autonomous shuttles in experimental settings, this article adopts the perspective of potential users who have no previous experience with these vehicles and identifies the link between usage intention and WOM communication in a real-life traffic environment. © 2024, Myriam Quinones, Jaime Romero, Anne Schmitz and Ana M. Díaz-Martín.",Autonomous shuttle; Autonomous vehicle; Driverless shuttle; Robots; Self-driving bus; Smart mobility; Sustainable mobility; Technology acceptance; Technology adoption; Usage intention; UTAUT2; Word-of-mouth,Emerald Publishing,scopus-autonomous,0,Feeling AI,"['trust', 'word-of-mouth', 'user acceptance', 'hedonic motivation']","The abstract focuses on user acceptance and the emotional and psychological factors that influence the willingness to use public autonomous shuttles. It emphasizes the importance of trust and hedonic motivation, which are emotional drivers in customer understanding and acceptance. Additionally, the study explores word-of-mouth communication, which relates to customer engagement and emotional responses. This aligns closely with the objectives of Feeling AI, which aims to understand and meet customer emotional needs and wants.",70%,10%,20%,0%,0%,"[2023, 2025)",Word-of-mouth
Market amplification or transformation? The role of industry analysts in spreading WOM in B2B,Cowan K.; Palo T.; Chapple D.; Zhang Y.,2023,10.1108/JBIM-03-2022-0127,"Purpose: The purpose of this study is to address these questions. Word-of-mouth (WOM) is increasingly important in business-to-business (B2B) decision-making. Yet, research on this topic is rather limited, and often borrows from business-to-consumer (B2C) WOM literature. The question remains as to whether these assumptions realistically occur in B2B WOM. Specifically, this study explores the following questions: What value does B2B WOM have? Why do social media influencers in B2B engage in WOM? What type(s) of social media influencers spread WOM in B2B? Design/methodology/approach: To address these questions, this study adopts a qualitative research strategy. This study focuses on industry analysts in information technology markets who often influence the buying decisions of customers through their expertise and recommendations of technology solutions. Based on interviews with these influencers, this study explicates B2B WOM, an area the authors know much less of in comparison to B2C WOM. Findings: This study reveals differences in who spreads WOM within B2B, their roles, key features of their content and how they spread WOM. Second, this study demonstrates the types of actors spreading WOM in B2B in relation to the type of WOM and how it actually influences B2B markets. Originality/value: This study broadens the current definition of WOM and, specifically, showcases WOM not only as amplifying messages but as a means to co-create the market itself with vendors and clients. This research offers several contributions to the B2B WOM literature and influencer practice. © 2022, Emerald Publishing Limited.",Business-to-business; Influencer marketing; Market creation; Opinion leadership; Social media influencer; Thought leadership; Word-of-mouth,Emerald Publishing,scopus-recommendation,4,Feeling AI,"['word-of-mouth', 'social media influencers', 'customer decision-making', 'B2B', 'emotional needs']","The study focuses on the role of word-of-mouth (WOM) in B2B contexts, emphasizing the emotional aspects of decision-making influenced by social media influencers and their relationships with customers. It highlights how WOM can not only amplify messages but also co-create market dynamics, showcasing an understanding of customer emotional needs and the relational aspects of marketing. This aligns with the objectives of Feeling AI, which focuses on customer understanding and relationalization.",70%,10%,20%,0%,0%,"[2023, 2025)",Word-of-mouth
The role of brand orientation in the higher education sector: a student-perceived paradigm,Casidy R.,2013,10.1108/APJML-06-2013-0069,"Purpose – The purpose of this paper is to examine the relationship between perceived brand orientation (PBO), satisfaction, loyalty, and post-enrolment communication behaviour in the Australian higher education sector. Design/methodology/approach – Two hundred and fifty-eight questionnaires were completed by undergraduate students of a particular university in Australia. Structural equation modeling was employed in this study to examine the associations between the constructs. Findings – This study provides empirical evidence that PBO has a positive and significant relationship with all dependent variables. The research reveals that students' perception of a university's brand orientation is significantly related to satisfaction, loyalty, and post-enrolment communication behaviour. Research limitations/implications – The findings may guide the key decision makers in higher education institutions to understand the importance of brand orientation in their corporate strategy to enhance satisfaction, loyalty, and positive WOM, which can be used to differentiate themselves from other institutions in the highly competitive education market. Originality/value – Past researchers have not looked into the dynamic relationships between PBO, satisfaction, loyalty, and post-enrolment communication behaviour, and hence research is to be called for in this area. The paper is the first to examine brand orientation from the perspective of the students and provide higher education institutions with recommendations to improve service quality through brand orientation. © 2013, © Emerald Group Publishing Limited.",Brand orientation; Customer loyalty; Customer satisfaction; Higher education; Structural equation modelling; Word-of-mouth marketing,Emerald Group Publishing Ltd.,scopus-recommendation,33,Feeling AI,"['brand orientation', 'satisfaction', 'loyalty', 'communication behaviour', 'customer emotional needs']","The abstract emphasizes the relationship between perceived brand orientation and emotional factors such as satisfaction and loyalty, which are critical elements in understanding customer needs and wants. The study aims to enhance these emotional connections through brand orientation, aligning closely with the objectives of Feeling AI to understand and meet customer emotional needs.",70%,10%,20%,0%,0%,"[2013, 2015)",Word-of-mouth
The effects of marketing communication on the tourist's hotel reservation process,Almeida N.M.; Silva J.A.; Mendes J.; do Valle P.O.,2012,10.1080/13032917.2012.687690,"The paper analyses the tourist's first stay booking decision and the factors (such as advertising, word-of-mouth, and travel agency recommendation) that most significantly influence it. Three research hypotheses have been considered and a logistic regression model has been specified. The factors ""advertising"" and ""word-of-mouth"" have significant power to explain direct-contact booking. Hence, there is not only a strong association between first stay booking and the Web, but also a very strong association between the booking and the recommendation of someone close to the tourist who has previously stayed at the hotel. This means that these are two important sources of information for inducing the tourist's decision in this respect. The research contributes to both the understanding of the first stay booking decision-making process and the management of the hotel marketing communication media plan. © 2012 Taylor & Francis.",Advertising; Booking; Marketing communication media; Word-of-mouth,,scopus-recommendation,10,Feeling AI,"['advertising', 'word-of-mouth', 'recommendation', 'decision-making', ""tourist's first stay booking""]","The abstract focuses on understanding the factors influencing a tourist's decision to book their first stay, particularly highlighting the emotional aspects of recommendations from peers and advertising. This aligns closely with the Feeling AI category, which emphasizes understanding customer emotional needs and wants. The significant impact of word-of-mouth indicates the importance of relational aspects in influencing customer decisions.",60%,10%,30%,0%,0%,"[2011, 2013)",Word-of-mouth
Examining the nature and dynamics of At-destination recommendations: The local experts' perspective,Wang Y.; Severt D.; Rompf P.,2006,10.1300/J150v13n03_08,"At-destination referrals from local experts play a critical and complementary role in information sourcing and venue decision strategies by visitors of a destination. This context-specific form of word-of-moulh communication is widely practiced, yet remains an under-researched phenomenon when taking into consideration the broad range of locals utilized by visitors when making at-destination decisions on travel-related services. Most word-of-mouth studies have examined its influence on consumer's purchase behavior, but few attempts have been made to investigate the local experts' perspective. This exploratory study attempts to contribute to the understanding of the phenomenon from the local experts' perspective from two aspects: (1) examining the nature and significance of at-destination recommendations; and (2) developing and testing a motivational construct of locals making recommendations. The results provide further evidence of a broad range of residents within a community being involved in the provision of venue information and direct property referrals. A test of motivational scale items reveals that five themes emerge as the underlying constructs driving the local experts' referral behavior. Discussion and implications are also provided based on the study results. © 2005 by The Haworth Press, Inc. All rights reserved.",At-destination referrals/recommendations; Destination marketing; Referrer motivations; Tourism marketing; Word-of-mouth,,scopus-recommendation,5,Feeling AI,"['at-destination referrals', 'local experts', 'word-of-mouth', 'recommendations', 'motivational construct', 'community involvement', 'residents', 'venue information']","The abstract discusses the emotional and relational aspects of recommendations provided by local experts to visitors. It focuses on understanding the motivations behind locals' referrals and the significance of these at-destination recommendations, indicating an emphasis on customer understanding and relationalization. The themes driving local experts' behavior reflect emotional engagement and the desire to assist visitors, aligning closely with the definitions of Feeling AI.",70%,10%,20%,0%,0%,"[2005, 2007)",Word-of-mouth
The role of brand orientation in the higher education sector: a student-perceived paradigm,Casidy R.,2013,10.1108/APJML-06-2013-0069,"Purpose – The purpose of this paper is to examine the relationship between perceived brand orientation (PBO), satisfaction, loyalty, and post-enrolment communication behaviour in the Australian higher education sector. Design/methodology/approach – Two hundred and fifty-eight questionnaires were completed by undergraduate students of a particular university in Australia. Structural equation modeling was employed in this study to examine the associations between the constructs. Findings – This study provides empirical evidence that PBO has a positive and significant relationship with all dependent variables. The research reveals that students' perception of a university's brand orientation is significantly related to satisfaction, loyalty, and post-enrolment communication behaviour. Research limitations/implications – The findings may guide the key decision makers in higher education institutions to understand the importance of brand orientation in their corporate strategy to enhance satisfaction, loyalty, and positive WOM, which can be used to differentiate themselves from other institutions in the highly competitive education market. Originality/value – Past researchers have not looked into the dynamic relationships between PBO, satisfaction, loyalty, and post-enrolment communication behaviour, and hence research is to be called for in this area. The paper is the first to examine brand orientation from the perspective of the students and provide higher education institutions with recommendations to improve service quality through brand orientation. © 2013, © Emerald Group Publishing Limited.",Brand orientation; Customer loyalty; Customer satisfaction; Higher education; Structural equation modelling; Word-of-mouth marketing,Emerald Group Publishing Ltd.,scopus-recommendation,33,Feeling AI,"['brand orientation', 'satisfaction', 'loyalty', 'communication behaviour', 'customer emotional needs']","The abstract emphasizes the relationship between perceived brand orientation and emotional factors such as satisfaction and loyalty, which are critical elements in understanding customer needs and wants. The study aims to enhance these emotional connections through brand orientation, aligning closely with the objectives of Feeling AI to understand and meet customer emotional needs.",70%,10%,20%,0%,0%,"[2013, 2015)",Word-of-mouth
The effects of marketing communication on the tourist's hotel reservation process,Almeida N.M.; Silva J.A.; Mendes J.; do Valle P.O.,2012,10.1080/13032917.2012.687690,"The paper analyses the tourist's first stay booking decision and the factors (such as advertising, word-of-mouth, and travel agency recommendation) that most significantly influence it. Three research hypotheses have been considered and a logistic regression model has been specified. The factors ""advertising"" and ""word-of-mouth"" have significant power to explain direct-contact booking. Hence, there is not only a strong association between first stay booking and the Web, but also a very strong association between the booking and the recommendation of someone close to the tourist who has previously stayed at the hotel. This means that these are two important sources of information for inducing the tourist's decision in this respect. The research contributes to both the understanding of the first stay booking decision-making process and the management of the hotel marketing communication media plan. © 2012 Taylor & Francis.",Advertising; Booking; Marketing communication media; Word-of-mouth,,scopus-recommendation,10,Feeling AI,"['advertising', 'word-of-mouth', 'recommendation', 'decision-making', ""tourist's first stay booking""]","The abstract focuses on understanding the factors influencing a tourist's decision to book their first stay, particularly highlighting the emotional aspects of recommendations from peers and advertising. This aligns closely with the Feeling AI category, which emphasizes understanding customer emotional needs and wants. The significant impact of word-of-mouth indicates the importance of relational aspects in influencing customer decisions.",60%,10%,30%,0%,0%,"[2011, 2013)",Word-of-mouth
Recommend or not: A comparative analysis of customer reviews to uncover factors influencing explicit online recommendation behavior in peer-to-peer accommodation,"Ding, K; Gong, XY; Huang, T; Choo, WC",2024,10.1016/j.iedeen.2023.100236,"In the fiercely competitive landscape of the peer-to-peer accommodation platform Airbnb, understanding customers' online recommendation behavior is essential for optimizing competitiveness and harnessing the potential of electronic word-of-mouth. This study aims to provide comprehensive insights into the factors driving customers' issuance of positive or negative recommendations based on their experiences. Leveraging 10,101 online reviews from Airbnb users, we employ the Structural Topic Model to determine latent topics relating to customers' recommendation intentions. This study reveals that positive recommendations are primarily influenced by hedonic values tied to the overall experience, including crucial aspects such as convenience for exploring points of interest, local authenticity, social interaction, and emotional fulfillment. These findings highlight the significance of providing memorable and enriching experiences to elicit positive reviews from customers. On the other hand, negative recommendations are closely linked to utilitarian values focused on practical concerns such as check -in procedures, cleanliness, comfortableness, and amenities. Understanding these utilitarian factors is vital for hosts and platform administrators to improve service quality and address potential issues that may lead to negative reviews. Furthermore, this study emphasizes the significant role of hosts in shaping both positive and negative recommendations. This research contributes valuable insights to the field of peer-to-peer accommodation, highlighting the significance of various factors influencing customers' recommendation behavior.",Social marketing; Online recommendation behavior; Word-of-mouth; Airbnb,ELSEVIER SCI LTD,wos-recommendation,6,Feeling AI,"['positive recommendations', 'negative recommendations', 'emotional fulfillment', 'customer understanding', 'experiences', 'social interaction', 'authenticity']","The abstract focuses on understanding customers' online recommendation behavior, emphasizing the emotional aspects of customer experiences. It highlights how positive recommendations are influenced by hedonic values and emotional fulfillment, while negative recommendations are related to practical concerns. This aligns with the 'Feeling AI' category, which focuses on customer understanding and emotional needs. The study aims to comprehend and meet these emotional needs to enhance customer engagement, making it a clear fit for Feeling AI.",70%,10%,20%,0%,0%,"[2023, 2025)",Word-of-mouth
Examining the nature and dynamics of At-destination recommendations: The local experts' perspective,Wang Y.; Severt D.; Rompf P.,2006,10.1300/J150v13n03_08,"At-destination referrals from local experts play a critical and complementary role in information sourcing and venue decision strategies by visitors of a destination. This context-specific form of word-of-moulh communication is widely practiced, yet remains an under-researched phenomenon when taking into consideration the broad range of locals utilized by visitors when making at-destination decisions on travel-related services. Most word-of-mouth studies have examined its influence on consumer's purchase behavior, but few attempts have been made to investigate the local experts' perspective. This exploratory study attempts to contribute to the understanding of the phenomenon from the local experts' perspective from two aspects: (1) examining the nature and significance of at-destination recommendations; and (2) developing and testing a motivational construct of locals making recommendations. The results provide further evidence of a broad range of residents within a community being involved in the provision of venue information and direct property referrals. A test of motivational scale items reveals that five themes emerge as the underlying constructs driving the local experts' referral behavior. Discussion and implications are also provided based on the study results. © 2005 by The Haworth Press, Inc. All rights reserved.",At-destination referrals/recommendations; Destination marketing; Referrer motivations; Tourism marketing; Word-of-mouth,,scopus-recommendation,5,Feeling AI,"['at-destination referrals', 'local experts', 'word-of-mouth', 'recommendations', 'motivational construct', 'community involvement', 'residents', 'venue information']","The abstract discusses the emotional and relational aspects of recommendations provided by local experts to visitors. It focuses on understanding the motivations behind locals' referrals and the significance of these at-destination recommendations, indicating an emphasis on customer understanding and relationalization. The themes driving local experts' behavior reflect emotional engagement and the desire to assist visitors, aligning closely with the definitions of Feeling AI.",70%,10%,20%,0%,0%,"[2005, 2007)",Word-of-mouth
Market amplification or transformation? The role of industry analysts in spreading WOM in B2B,Cowan K.; Palo T.; Chapple D.; Zhang Y.,2023,10.1108/JBIM-03-2022-0127,"Purpose: The purpose of this study is to address these questions. Word-of-mouth (WOM) is increasingly important in business-to-business (B2B) decision-making. Yet, research on this topic is rather limited, and often borrows from business-to-consumer (B2C) WOM literature. The question remains as to whether these assumptions realistically occur in B2B WOM. Specifically, this study explores the following questions: What value does B2B WOM have? Why do social media influencers in B2B engage in WOM? What type(s) of social media influencers spread WOM in B2B? Design/methodology/approach: To address these questions, this study adopts a qualitative research strategy. This study focuses on industry analysts in information technology markets who often influence the buying decisions of customers through their expertise and recommendations of technology solutions. Based on interviews with these influencers, this study explicates B2B WOM, an area the authors know much less of in comparison to B2C WOM. Findings: This study reveals differences in who spreads WOM within B2B, their roles, key features of their content and how they spread WOM. Second, this study demonstrates the types of actors spreading WOM in B2B in relation to the type of WOM and how it actually influences B2B markets. Originality/value: This study broadens the current definition of WOM and, specifically, showcases WOM not only as amplifying messages but as a means to co-create the market itself with vendors and clients. This research offers several contributions to the B2B WOM literature and influencer practice. © 2022, Emerald Publishing Limited.",Business-to-business; Influencer marketing; Market creation; Opinion leadership; Social media influencer; Thought leadership; Word-of-mouth,Emerald Publishing,scopus-recommendation,4,Feeling AI,"['word-of-mouth', 'social media influencers', 'customer decision-making', 'B2B', 'emotional needs']","The study focuses on the role of word-of-mouth (WOM) in B2B contexts, emphasizing the emotional aspects of decision-making influenced by social media influencers and their relationships with customers. It highlights how WOM can not only amplify messages but also co-create market dynamics, showcasing an understanding of customer emotional needs and the relational aspects of marketing. This aligns with the objectives of Feeling AI, which focuses on customer understanding and relationalization.",70%,10%,20%,0%,0%,"[2023, 2025)",Word-of-mouth
